movie_id,movie_name,year,certificate,runtime,rating,description,director,actor,votes,gross_usd,genre
tt0102958,Sólo con tu pareja,1991,Not Rated,94,6.8,A womanizer is falsely diagnosed with AIDS by a jealous lover and falls in love with a woman equally suicidal as he.,Alfonso Cuarón,"Daniel Giménez Cacho, 
Claudia Ramírez, 
Luis de Icaza, 
Astrid Hadad",3869,9074.0,"Romance, Comedy"
tt0102913,Shout,1991,PG-13,89,5.2,A new music teacher in a 1955 West Texas home for wayward boys brings new vision and hope for many of the interned boys.,Jeffrey Hornaday,"John Travolta, 
Jamie Walters, 
Heather Graham, 
Richard Jordan",2006,3547684.0,"Romance, Drama, Music"
tt0265930,The Last Kiss,2001,R,115,6.9,"Carlo's life is thrown into a tailspin when his longtime girlfriend Giulia announces she's pregnant. As Carlo faces up to his anxieties about adulthood, his buddies Paolo, Adriano and ...                See full summary »",Gabriele Muccino,"Stefano Accorsi, 
Giovanna Mezzogiorno, 
Stefania Sandrelli, 
Claudio Santamaria",8639,1046734.0,"Romance, Comedy, Drama"
tt0085838,Lianna,1983,R,110,6.9,"A happily married woman comes to realize herself of being a repressed lesbian after she has an affair with a female college professor, and then tries to come to terms with her newfound lifestyle.",John Sayles,"Linda Griffiths, 
Jane Hallaren, 
Jon DeVries, 
Jo Henderson",1757,1500000.0,"Romance, Drama"
tt0119327,Hugo Pool,1997,R,92,5.0,An LA pool cleaner/Alyssa Milano falls in love with a young man with ALS/Lou Gehrig's Disease.,Robert Downey Sr.,"Alyssa Milano, 
Mark Boone Junior, 
Malcolm McDowell, 
Brendan Dawson",2024,3620.0,"Romance, Comedy"
tt0049682,Rock Around the Clock,1956,Not Rated,77,6.1,"Orchestra manager Steve Hollis realizes that big-band music is dead. People want something new, but what? On their way to New York, Steve and his companion Corny, stop at a motel in a small...                See full summary »",Fred F. Sears,"Bill Haley and the Comets, 
Bill Haley, 
The Platters, 
Ernie Freeman Combo",1207,4000000.0,"Romance, Comedy, Music"
tt0099166,Book of Love,1990,R,82,6.1,A reminiscence of youth in the 1950's.,Robert Shaye,"Chris Young, 
Keith Coogan, 
Aeryk Egan, 
Josie Bissett",1204,1382259.0,"Romance, Comedy"
tt0087525,Just the Way You Are,1984,PG,94,5.9,"A disabled musician thinks people treat her differently because of her disability, so she goes to a ski resort with her leg in a cast to test this theory.",Édouard Molinaro,"Kristy McNichol, 
Michael Ontkean, 
Kaki Hunter, 
André Dussollier",969,7889694.0,"Romance, Comedy, Music"
tt0056626,Two for the Seesaw,1962,Approved,119,6.7,Robert Wise directs Robert Mitchum and Shirley MacLaine in this spicy and poignant love story about a free-spirited Greenwich Village girl who hooks up with a brooding Nebraska lawyer. In HD.,Robert Wise,"Robert Mitchum, 
Shirley MacLaine, 
Edmon Ryan, 
Elisabeth Fraser",1862,3815000.0,"Romance, Drama"
tt0219400,Waking Up in Reno,2002,R,91,5.4,A romantic comedy about two trashy couples travelling to Reno to see a monster truck show.,Jordan Brady,"Billy Bob Thornton, 
Charlize Theron, 
Patrick Swayze, 
Natasha Richardson",6097,267109.0,"Romance, Comedy"
